contributions,title,review,
44,1-night getaway in NYC,We decided to spend a day and night in NYC over the Veteran’s Day weekend. So many options in hotels| but my wife remembered we stayed at the Hotel Giraffe before.  She remembered the great location and really unexpected happy hour. Really glad that she remembered because the hotel stay was great!  The hotel is located near Madison Sq. Park in the Flat Iron area of Midtown. About a 10 minute walk from Penn. Station and there are subway options close to the hotel. We loved this location because it’s only about a 10-min walk to Union Sq. and really not far at all to Greenwich Village. It’s in a really great location away from the craziness of Times Sq| etc.  Hotel staff was great. We valet the car for the night. It’s $45 for 24 hours| which I find to be very fair. My family and I…,
52,Fabulous but understated,Hotel Giraffe is like a gracious host: It makes hospitality look effortless. Everything is so quietly well-done| but never ostentatiously. Rooms are spotlessly clean| my number one requirement in a hotel. The location is great| with easy access to the 28th Street subway station.   Continental breakfasts are served in the lobby each morning. Offerings include toasted bagels| assorted pastries| cereal| freshly cut fruit| hard boiled eggs| juices| and coffee. Copies of The NY Times are abundant. Guests seem to enjoy just sitting there and relaxing. The pastries and hot coffee remain out all day. Cookies are put out later in the day. And late in the afternoon wine and cheese are served.   The beds and bed linens are extremely comfortable. Rooms are well insulated| i.e. you won’t…,
1,Excellent stay,Only from across the river but needed to stay in this part of town. The staff was really cool and helpful. The beds were really comfortable and happy hour and breakfast were awesome! Very good vibe in this hotel!,
8,Excellent location and service,Lovely staff and delicious lobby snacks all day! Wonderful restaurants outside the door on all sides. Will definitely make this our home base on our two next trips to New York City  isiting our son at nyu.,
1,Our 1st time in New York,The service was great and exceeded our expectations. Once we closed our balcony doors| we never heard one sound outside.  The room temperature controller in living room and bedroom was perfect. Having our continental breakfast delivered to our room was well worth the extra $5pp. You can walk around the hotel and you can eat a good breakfast. A restaurant that we took advantage of is right across the street. I highly recommend this place. It is in the middle of Everything you need. I do have a minor blah| the TV controller in both rooms can only be used if you're really close to tv.  The sensor doesn't work if your laying in bed or sitting on the couch.,
38,Hotel Giraffe - An Elegant and Gracious Boutique Hotel,I have stayed at the Hotel Giraffe a number of times on business. I have never been disappointed...and| in fact| I just come to love this little gem more and more each time I go. With lovely rooms| great amenities (free breakfast and happy hour)| and wonderful staff this hotel deserves the high marks it gets. Special shout-outs to Gaby and JR| Jose| Christian...and the ever-delightful Gabriela who handles the happy hour.  The staff always remembers me and my colleagues on arrival...makes it feel like we are visiting old friends| which I guess we ARE doing!,
323,Pleasant  without being Outstanding,This  is the most difficult review  I  have  ever written because of  the  variety of experiences the hotel  provided.  We  booked  because  Trip Advisor  advised that The Giraffet was  #1 in NYC. Having  stayed  for a total of 9 nights recently| I  find this  difficult to believe. So| how do I  rank it ?  Against  all hotels classy| expensive  5 star hotels in New York| it  probably only  gets 3 stars  but  against other 3 &4  star hotels| it would deserve  a higher  ranking. So| first the good  points: (1)  location. It is  near subway stations  and lots of restaurants etc; (2)  Staff -  very  friendly  and helpful| always welcoming; (3)  room  size - we  had a corner  suite  so a great size  for NYC  with a separate  lounge area and very comfortable bed (4)  evening  drinks…,
1,Fun one nighter in NYC,The hotel Giraffe is in a great location on Park ave.  Easy to walk to different areas and the restaurant Upland is across the street and is fabulous.  The staff was excellent and very helpful as was the morning breakfast in the lobby.  The hotel has a really great vibe and everyone has a great vibe as well.  The rooms are appointed nicely and I would highly recommend rather than staying at a large hotel chain.  I can't wait to go back! ,
2,Amazing,We stayed here for 4 nights whilst we took in the sights of NYC. we were upgraded to a suite on checkin and they had left us a bottle of prosecco for my husbands birthday. Room was warm| clean and comfortable. Breakfast was served in the foyer with plenty of pastries| bagels| fresh fruit and coffee to set you up for the day. Location was really central - close to subway and within easy walking distance of key tourist attractions| e.g. Empire State Building| Fifth Avenue.,
1,Flawless,"Everything about our stay from.start to finish was perfect. The entire staff was amazing and they really go out of their way to make every guest feel special.  Our king room with a.balcony was huge for NYC standards and it was great having such a spacious closet to store clothes and luggage. Breakfast and Happy Hour were the icing on the cake. We have definitely found our new ""go to"" hotel fo4 our trips to NYC!! Thank you Hotel Giraffe!!! Hope to see you again soon!!",
11,Stayed there many times and never been disappointed,NYC has many hotels| but Giraffe is a true gem. They have top tier service| hotel is very classy and warm| and comfortable and clean. I like the wine and cheese each evening| and breakfast is a nice touch as well. Guests that stay at the hotel are also calm and nice... location of it is perfect as well. We stay at giraffe often.. we tried other hotels in the are but none come close to the level of this one,
5,Perfect location with super nice and helpful staff,A nice warm hotel| very clean. Nice relatively spacious rooms (for NYC). The best thing is the extremely nice and helpful staff| without exceptions. There is a free breakfast and a 24/7 coffee and some biscuits or fruits. Excellent choice.,
7,Convenient and Gracious Stay,The Hotel Giraffe offered a warm| comfortable place to stay right in the heart of Manhattan. My room was comfortable and clean| with a delicious continental breakfast served in a welcoming lobby space on the first floor. While the hotel itself lacks a gym| it was a quick walk to the New York Sports Club without any charge for admission. I'd be glad to stay at this property in the future. My only disappointment? Wishing the designers had played up the giraffe theme in a more visible| consistent and fun way.,
265,Nice hotel in graet location,We spent four nights. Good size room and ample storage. Small bathroom but large countertops to put toiletries. Check in and check out was easy. Staff was helpful in printing boarding passes. Decent breakfast buffet. After a long day visiting we enjoyed the evening wine and cheese. Gabriella is such an efficient and warm person. She makes everyone feels at home. I removed one star from my review because the hotel allows guests to come to breakfast in their robe. It happened three mornings during our stay and it is not appropriate for a four star hotel.,
5,Anniversary to remember,Hotel Giraffe helped to make our 30th anniversary one to remember.  Arranged for a car/driver pick-up at the airport| facilitated our preferred room request| and we were greeted with a bottle of bubbly chilling in our room upon our arrival.  All special requests were cheerily fulfilled.  Evening wine and cheese served up by the lovely Gabriella is a nice way to finish your day and begin your evening activities.  Our room more than met our expectations| and the location of the hotel is convenient to two subway stops within a few blocks.,
4,Another comfortable stay!,I have stayed at the Hotel Giraffe many times and am never disappointed.  The rooms are clean and spacious| the beds comfortable| and the staff helpful and kind.  The lobby breakfast area is so cheerful -- I find myself sitting for hours with the paper!,
1,Exceeding our expectations,We visited as part of celebrating my 60th| and were greeted by a bottle in our room on arrival. Bed is very comfortable and king size. Quiet room no noise and given a 7th floor as requested to avoid street noise. We loved the complimentary cheese| nibbles and wine set out in the lounge area early evening. A delightful Gabrielle would come round topping up glasses! We also appreciated the complimentary fruit salad| cereal| etc and toasts at breakfast which led to a relaxing start for the day (most other hotels in NY| no included breakfasts were offered). Very helpful staff at reception who gave advice to ourselves as tourists in NY| also helped with transfer back to the airport. Will full recommend Giraffe in NY to any visitors.,
14,Excellent Hotel in New York City,The location of this hotel is perfect| just a little way out from the hustle and bustle of Times Square but is convenient to get around New York.  We have visited The Giraffe on several occasions and it never fails to delight us.  Comfy beds and pillows| lots of luxurious touches.  Beautiful breakfast and afternoon cheese and wine.  The staff are very friendly and helpful| nothing is too much trouble.  Love the friendly atmosphere of this boutique hotel.  Cannot fault in any way.,
1,Love the Hotel Giraffe!!!,I travel frequently to New York to see my children| and always stay at the Hotel Giraffe! Such a lovely hotel! Location is excellent on Park ave south steps away from beautiful Madison Square Park. Great restaurants around.The rooms are spacious| lovely and clean. Love my continental breakfast especially the excellent coffee and fresh fruit salad. Love the wine and cheese in the evening! Most importantly |the service is top notch| and the employees are so genuinely nice and helpful! Gabby is the best!,
3,Nice weekend in NYC at the Giraffe.,We have stayed in many different NYC hotels| but this is our first stop over at the Giraffe. It is a clean| efficient and well run facility in a good location. The staff are helpful with positive attitude. In particular Gabriella| who manages and serves the complimentary breakfasts and late afternoon wine and cheese in the lobby| is a gem. We will be back. ,
3,Perfect location and great service as always,We returned to Hotel Giraffe for our annual trip to New York City and were once again very pleased with our decision. Location is perfect and within walking distance to Central Park| Times Square| Grand Central Station| etc. We also walked to Hudson Yards and Highline (30 min).   We also return because of the attentive and professional service from Juan Carlos and Almira and all staff. Thank you for a delightful stay. We look forward to returning next year!,
1,Home again,This is my very favorite hotel.Always greeted warmly ! Best beds in the world! It’s a great location for all parts of NYC and many really wonderful restaurants nearby to chose from. The staff from top to bottom is terrific. I’m going back for a week in February and can’t wait!!!,
2,My favorite midtown oasis,This hotel has a very intimate vibe. The people at the desk are friendly and helpful and the morning breakfast is always lovely. The woman who helps to serve all the customers has the most gracious attitude and will always remember how you like your coffee or bagel. ,
2,A wonderful breath of fresh air,After staying at another hotel in Hell's Kitchen for the first half of the week| Hotel Giraffe was a welcome departure from the hustle and bustle of Times Square.   First of all| the location. There were several metro stations within 10 minutes' walking distance| with the 6 station conveniently one block north. The Empire State building's super close as well. The NOMAD neighborhood is incredibly relaxing| with the Madison Square Park (and original Shake Shack!) just a couple blocks away as well.  Second| the service. Service at Hotel Giraffe was exquisite. The staff are uncommonly polite and helpful. This is by far the nicest hotel I've ever stayed at in NYC| especially for the price. If the other Library hotels are like this| I think I've found a new chain to frequent.  Third|…,
1,Lynn's view,We had a great time at Hotel Giraffe. The service was gracious and attentive without being overbearing. Our room was a comfortable size (unlike some other hotel rooms we've stayed in NY) and we had a tiny terrace that looked out on Park Ave. The location was perfect for us.,
7,This is it!,This was the trip of a lifetime and staying here was simply amazing! The welcome and the rooms were everything we had hoped for (mind you| it a long flight). Loved the little step-out balcony and looking out onto the bustling city-life.,
1,Exceptional Service!,I cannot say enough about the exceptional accommodations and service at Hotel Giraffe. Everything from check in to check out was wonderful. The front desk staff is very friendly and helpful| the morning breakfast staff is wonderful and the young lady who takes care of the evening cocktail reception is fantastic!  This hotel has very comfortable beds| great pillows and immaculately clean rooms. It will be my “go to” hotel whenever I visit the city. ,
5,Love this hotel!,I have stayed here several times and think it is the best value for great customer service and accommodations that were clean| quiet and well appointed.  Our queen room had a sunny balcony with plants and a few chairs.  They have complementary wine & cheese before dinner and fresh fruit| yogurt| eggs| etc in the am.  overall great stay,
5,Fantastic hotel,My husband and I stayed at the Hotel Giraffe for 5 nights. I cannot fault the hotel| or the service we received. Our room was lovely| roomy and extremely clean and comfortable. The attention to detail was impressive - we had been asked what sort of mattress topper and pillows we wanted and whether we wanted a coffee maker in our room. A full range of toiletries was available in the bathroom| and the housekeeping was of a very high standard. I had asked for a quiet room| and that is exactly what we got - we heard no noise at all from either inside or out. Breakfast each morning was delicious| and the drinks and snacks available in the lounge all day were very welcome. And happy hour was a delight| with drinks| cheese and biscuits and piano music while we relaxed in the…,
1,Always a great experience,I have the privilege of staying at the Giraffe a few times a year and it is never disappointing. I feel like family when i arrive and this extends to those on staff i have met before or am just engaging with for the first time.  Clean and comfortable meets professional and upscale!,
48,Great Hotel,Stayed at Hotel Giraffe for 7 nights| great location| very comfortable rooms and beds. Staff all helpful and friendly. Happy hours in lounge enjoyable and breakfast good|continental but option of hot at extra cost if req.Highly recommended.,
11,Always excellent!,We love staying here. Staff from the front door to the registration desk| to the breakfast and happy hour staff always remember us and welcome us back. Rooms are large for NYC standards and are very clean.,
10,Giraffe Hotel,Lovely boutique hotel| excellent service. In a quieter part of New York.  Can be busy at breakfast time with no tables available. It has a cool roof top bar. They have cheese and wine for a few hours every day but we didn't manage to attend as we were so busy enjoying the city!!!,
45,Four Days in Manhattan,Fabulous hotel with excellent attentive service. Highly recommend for business or family travel. Location is great. The hotel is very clean and could not hear street noise from the room. Staff was friendly and very attentive. ,
4,Great place to stay,First time staying at a the Griaffe. I thought it was lovely. Special touches of breakfast and wine time and fruit and cookies at all times. The staff was extra nice and welcoming | Rooms were very nice too. I highly recommend it and hope to stay there again.,
1,Loved our stay.,Love the Giraffe/Library Hotels.  Staff were very helpful and professional.  Amenities are much appreciated.  Great location. And THANK YOU for not charging the much loathed resort fee.  That guarantees we will return.  ,
15,Perfect location,Excellent location| nice area for bars and restaurants. Great hotel| very boutique but can do with a facelift. Our room had a very usd feel to it but the rest was good. Loved the breakfast bar and the wine and cheese n the afternoon.,
2,My go to hotel,Always clean| comfy and attentive. A great little place in NY where I love to stay!  Recommend to all my friends. Easy to get anywhere in NY and a bonus is it’s across from Upland which is an awesome place to eat or just sit at the bar!,
45,Hands down - Fantastic!!,We live locally and wanted someplace special for 50th birthday weekend. Looked at the Ritz| Four Seasons and other high end hotels. Normally| we’re fans of the Westin Times Square which has become way too overrated. So| so glad we came upon Hotel Giraffe! It was a fantastic experience| start to finish. Can’t say enough about it or recommend. The service is terrific| could not have been nicer| rooms are great and lovely low key location. Looking forward to return visits!,
212,Solid Hotel with good service but no way this is #1 in NYC,"This appears to be a recently renovated hotel with nice rooms.  We had a suite..not sure if all rooms have suites.  The rooms are small (the bed takes most of the room)| a small but functional bathroom (just one sink) and a small sitting room.  The TV is a 24"" in the bedroom which is quite small given current standards.  Bed was a little saggy but fine.  Street noise not too bad on the 26th Avenue side even on the 4th floor.   The lobby is very nice and airy. They have happy hour wine and an excellent cheese servings.   Service is probably the best part of the hotel.  This is a nice offering but those ranking this as the #1 hotel in NYC don't really have a clue to the truly luxurious hotel offerings in town.   This is not even close.  But it is a good business hotel especially…",
213,My new NYC go-to hotel,I cannot rave about this hotel enough!  I have had 2 stays here: first in February for a few nights to try it out| then we booked an 8 night stay for our son's wedding in July.  Since many of our friends and family wanted to stay in the same hotel I worked with Ray Shum for the best possible rates and pestered him with emails about various concerns. Ray was unfailingly helpful and pleasant.  We booked a King suite which was lovely and spacious and came in handy when the bride and groom needed a bed for one night and were able to use the pullout couch. The bed was comfortable| we had a coffee maker| an empty fridge for snacks etc| there was plenty of storage space| everything we needed really.  We loved the location| the friendly staff at the desk| the super doormen| the…,
1,Surprise Gem !,Hotel Giraffe was recommended by a friend...and I can honestly say it was not a first choice but| because our travels were during the opening days of the UN our usual choices were full our ridiculously expensive.So| we were thrilled to find rooms and at a good price...We were plesantly surprised by a lovely lovely and a room that was large and comfortable! The fact that there was a continenal breakfast until 10:30 and cheese and wine in the lobby in the late afternoon was an added bonus!We loved it and took advantage of it...the staff could not have been nicer. Absolutely lovely,
2,Great location| great service| great rooms,The location is great for seeing all of New York| but in a quieter section of Park Avenue near two MTA stops. Both the lobby and rooftop deck made for nice places to relax beyond the room. While not the big| expansive hotels you could stay out elsewhere it’s an outsized experience for its size. ,
129,Don’t know when I enjoyed a hotel stay more !,This| for us| is the perfect hotel. We switched here from Kimpton’s when their ownership changed and we felt the quality declined.  We always look for a hotel we can call (a temporary) home and the first thing we felt was how warm| welcoming and accommodating each and every member of their staff was towards us. Special thanks to Ray. The place is immaculate| rooms large and well configured. Great beds. We felt totally safe and secure. Complimentary breakfast and wine & snacks in the late afternoon. Valet parking worked very well. Wouldn’t think of staying anywhere else. ,
1,Excellant boutique hotel,We loved our time at Hotel Giraffe. It was beautifully appointed| the service was fantastic across the board and the hotel is perfectly located in Manhattan for easy access to anything in the city. The only downside is the construction next door and the concrete saw that went off at 3 AM. But that's New York| so we choose to stick in ear plugs and continuing enjoying this vibrant city. We give a very high mark to this property!,
1,Excellent room| service snacks|etc,One of the best hotels we ever stayed at. Breakfast| wine and cheese| rooms| beds| showers everything was outstanding. Good safe location. Nice restaurant right in the hotel. Not overpriced. Clean and small enough to be personable. ,
2,Mr Keith Leek,We Stayed on three seperate occasions on this trip going back and forth to other cities. Staff are always excellent but special mention to Jose on front entrance assisting with all sorts of everyday travelers queries and questions. Helped us out immensely. Another person who must be mentioned is Gabriela who ran the complimentary evening wine and cheese gathering. Excelled in making everyone feel comfortable and have a great time. insuring the best end to the day| someone who really loves her work. We have stayed here before and why we chose the hotel again with great rooms and excellent location. However needs a bit of an upgrade especially the bathroom that is a bit dated.,
2,Truly exceptional hotel experience in the perfect location,Our first stay at Hotel Giraffe was exceptional. My 17 yr old daughter and I stayed there this past weekend 9/20 - 9/23 for her birthday weekend. There were balloons and cupcakes waiting for her in the room as I'd requested| even though we checked in a bit early. Our room had a beautiful Juliet balcony and the maid was always had a sweet smile. The entire staff was always pleasant| great eye contact| and very patient - never seem to be in a rush or too busy to answer questions. I want to pay a special thanks to Jose who made sure our Uber driver got to us in spite of the UN traffic the morning we checked out. He was outside| actively tracking down the Uber driver to help him get to a safe place to pick us up for our trip to the airport.  The hotel room was large| well-appointed|…,
1,Wonderful stay in New York,The location is perfect to discover New York. Furthermore| the staff is very kind - feels like home! The wine and cheese at the evening is perfect after a long day in Manhatten| also the breakfast is more than enough for a perfect start of the day.,
3,A little gem at Park and 26th,I've stayed at the Hotel Giraffe numerous times and have always returned home thinking what a terrific hotel it is. The rooms are great| the service excellent | and the hotel staff genuinely nice and extremely helpful. ,
3,Worth every penny ...,We love this hotel. Staff is nice. Breakfast is delicious. And rooms are super comfy (and quiet| go figure!!). We always seem to arrive at 10 AM (by Amtrak) and they always graciously hold our bags until our room is ready| and insist we eat another breakfast in their lobby.  Love Love Love this place!,
2,Great Hotel,We recently had our first stay at the Giraffe Hotel. The room was spacious and lovely with a really good bathroom and all the expected amenities. All of the staff was friendly and very helpful. The hotel is conveniently located for walking with lots of great restaurants in the neighborhood and near subways. Delicious breakfast and snacks provided all day. We are planning our next visit. ,
117,Enjoyable stay in NYC,Just returned from a 4 night stay at the giraffe and was very impressed.  The rooms are a great size for NYC| plenty of room for your suitcases and shopping. Rooms were clean and bed was comfortable. Bottled water is also provided daily| which was great.   The staff at this hotel are superb. Everyone was so friendly throughout our stay and happy to help with any questions etc.  There’s lots of choice at breakfast| cereal| bagels| fruit| yogurt| pastries and tea/coffee. Also| from 5pm - 8pm| the hotel provides complimentary wine and cheese.   I would highly recommend the giraffe. Good rooms| great location and excellent customer service from all staff!,
369,Wonderful stay in a safe area,We got a classic king suite for a family of three. The third person sleeps on a good sofa bed in the living room. The disadvantage of the setup was that the living room becomes tight. Here's how I found the hotel: -  very good staff; atttentive and professional - well maintained and clean room - spacious toilet and bath - qualitative toiletries - nice view  of park avenue from the room - very near Madison Park and  many restaurants  within walking distance in the area - near the Flatiron building as well as clothes shops in 5th avenue - ample supply of water and coffee in the room - deluxe continental breakfast of good quality although missing out on warm food; the only warm food was boiled eggs - refreshments in the lobby were good treats| especially the wine and cheese in the…,
3,A Truely Great Experience,It was our 2nd time at the Giraffe Hotel and it was amazing.  The staff treat you like family and the low key| subtle approach to everything allows you to feel so relaxed.  From the lovely breakfasts in the morning to the gorgeous wine and cheese early evenings its 5 star all the way. The location also is so good to get around New York with great access to subways.,
75,Fab,"We stayed here for five nights over New Year and the whole experience was wonderful. The hotel is spotlessly clean| rooms are large(ish) for New York. Breakfast selection is good and best of all the evening wine and cheese get together is included. We had previously stayed at the sister hotel ""Casablanca"" on Times Square but their prices around New Year were crazy| the Giraffe represented a fabulous alternative on Park Avenue| how gauche is that! Lots of bars and restaurants close by and a subway station a couple of blocks away. ",
1,Wonderful stay| as always,We love this hotel.  This was our third stay.  It's very quiet| clean| friendly| modern and nice but not pretentious.  This hotel has my favorite pillows too - fluffy and soft.  The location is great.  I was especially excited to see that Sarabeth's delivers to the hotel for a nominal fee!  We'll definitely come back.,
3,NYC Gem!,This hotel has been one of the greatest finds! Stumbled upon it when looking for a place to stay in NYC several years ago when their sister hotel| Casablanca| showed up on a list of top places to stay. Casablanca was full the weekend I needed and we ended up staying here. Ever since that trip we stay at Hotel Giraffe every time we come to NYC. The rooms are beautiful. The beds are comfortable. We love the turn down service. My favorite continental breakfast (but that could just be the New York bagels). The staff is incredibly helpful and pleasant. Hotel Giraffe is my all time favorite hotel anywhere.,
4,Fantastic hotel !! Great welcoming staff !!,We stayed for 6 nights  Great location- close to many landmarks  Clean and neat place ! Excellent polite and courteous staff Gabriel in the wine and cheese evening service is an absolute star !! Would definitely recommend this hotel,
1,Great boutique hotel,A great small hotel in a wonderful neighborhood centrally located in New York City. Breakfast and afternoon wine & cheese were complementary. Room was excellent - good size| clean and well-apointed. We will certainly be back. ,
834,Has become our go to favourite ,A great place to stay. Come as a guest leave as family. Repeat visits are a pleasure. Morning breakfast is always a good good. Chairs are a bit low for the tables! Newspapers are there and a smiling service staff. Evening wine and cheese welcome after a hectic NY day. Rooms are clean and comfortable. Lighting could be better and bathrooms are a bit dated! A good choice for a stay.,
16,All About Their Guests!,Had a fabulous stay at this hotel in Aug 2019! Upon arrival we were welcomed by such a warming team who greeted us with a smiley friendly face! Just what you want after a 7hr flight & 1.5 hr taxi queue/journey. The team answered all our questions & took our bags up to the room. We stayed in a suite with balcony & wow the room was large with plenty of storage & queen sized bed| just perfect I’ve never slept so well!!    Breakfast was lovely & served by friendly staff who seemed to enjoy their job! In an evening we would escape the madness & relax in the lobby with complimentary wine| cheeses & a soft drink for the little one! Perfect place to stay! Could not fault what so ever!   Thank you Hotel Giraffe for making our trip so memorable!,
26,City Bliss,I travel to NYC frequently and this is by far my favorite hotel. The staff is warm and helpful. The room as impeccably clean. The items I preordered from room service were delivered and displayed upon our arrival. Th complimentary snacks and waters were always available. The room was quiet and bed was comfortable.  This is my new favorite!,
4,Good| better| best! ,Looking for hotel in NYC for one trip April and one in May| it was important for us to have a spacious| calm family room| balcony (which is very rare to find) and breakfast. This hotel met all the criteria and is very well and centrally located. The first good impression made the receptionists| who were very polite| friendly and helpful| then the room which was even better than on the pictures of the website. In the afternoons after eventful and tiring days| we could enjoy apéro with great and relaxing live piano music and a tasty buffet| the evenings we could spend on the beautiful terrace on the top floor. A really splendid and cute hotel| highly recommended.   The very best hotel to make the most out of your trip to NYC!   Thank you very much Hotel Giraffe by Library Hotel…,
2,Excellent stay in NYC,Great room| service| cheese&wine aperò| breakfast. Well serviced by public transport with easy access to the main locations. Not to miss when you want to visit New York City. Easy access to WiFi| clean room.,
4,Fantastic hotel and great service,Hi there  We had a fantastic stay in this hotel. Great location| fantastic service and great reception each evening made this a very nice hotel for a family stay.  We had an issue one day which meant we were going to miss a tour and incur a penalty charge which the staff resolved for us which saved us a lot of money and hassle.  Big thanks to Asim (hotel manager)| and another chap on reception (sorry didn’t catch his name) for helping us while we had an issue to resolve and also Gabrielle for amazing service at breakfast and the evening receptions.  Thanks again - we will definitely stay here again on the next stay we have in NYC  Morris family ,
1,Excellent Hotel| Location and staff,I have just returned from 8 days in NY staying at the Hotel Giraffe with 7 friends. From the moment we started booking we were greeted with friendly and helpful responses from Ray Schumm. Upon arrival we were warmly greeted and nothing was too much. The location is excellent| the rooms are very comfortable and are a great size ( I was sharing and it was more than big enough for 2 people with lots of luggage!) Gabriela who served breakfast and then wine and cheese in the evenings was an absolute delight. We absolutely loved out stay and it certainly contributed to how much we enjoyed our holiday. We will be back!,
3,Great girls weekend!,Spent the weekend celebrating my mom’s birthday. Staff was amazing and made everything special. Sparkling wine| chocolates| and a birthday card. Great room. Wine & cheese and breakfast exceeded our expectations. Would absolutely stay here again. ,
2,Best boutique hotel in NYC,This was out 2nd trip to Hotel Giraffe and we were not disappointed! Always a delight!!!!  Maybe the nicest thing is Gabriela in the evenings during wine and cheese! Or Manny is always willing to take care of anything at the front desk.  All staff is fantastic and make you feel at home!,
19,Home from home,This was our third stay at Hotel Giraffe and the experience was great - as always. Staff is always friendly and helpful| the rooms spacious and very clean and the whole atmosphere is calm and friendly. Thanks to the staff (especially Gabriela!) for making our stay unforgettable!,
31,Wonderful Hotel and great location,We stayed at 4 Library Collection hotels and the Giraffe was our favourite. The staff were extremely professional and friendly. The room was fantasic| the breakfast and evening wine reception top notch and the location was perfect. Close to public transport and walking distance to Broadway| 5th Avenue| Madison Square Park| Fashion district| etc. We like smaller boutique hotels and this did not dissapoint. Highly recommend the Library Collection (except Casablanca was not the best..... see my review of that one).,
2,Great Birthday Stay!,We stay at the Hotel Giraffe a few times each year| when we visit from NJ.   Always exception service and staff.  Amazing location in the Flatiron District.  Walking distance to great restaurants and the park.  Perfect central location to get anywhere in the city.   Had another great experience here.  We will definitely be back again very soon.  Thank You!!  ,
